time,wx,wy,wz
5.355,0.15,0.06,0.07
5.371,0.15,-0.02,0.10
5.388,0.16,-0.17,0.16
5.422,0.18,-0.09,0.18
5.438,0.16,-0.07,0.15
5.455,0.07,-0.10,0.10
5.471,0.05,-0.09,0.06
5.488,0.11,-0.10,0.07
5.505,0.10,-0.16,0.08
5.522,0.04,-0.28,0.04
5.538,0.03,-0.34,0.02
5.555,0.05,-0.22,0.10
5.571,0.02,-0.13,0.14
5.588,-0.02,-0.24,0.11
5.605,-0.03,-0.33,0.02
5.622,-0.07,-0.32,-0.04
5.638,-0.12,-0.21,-0.10
5.655,-0.09,-0.07,-0.14
5.671,-0.03,0.04,-0.12
5.688,0.01,0.09,-0.07
5.705,0.01,-0.02,-0.07
5.722,0.09,-0.12,-0.14
5.738,0.23,-0.15,-0.15
5.755,0.33,-0.10,-0.11
5.771,0.31,-0.08,-0.09
5.788,0.27,-0.06,-0.10
5.805,0.18,-0.04,-0.08
5.822,0.12,-0.12,-0.08
5.838,0.28,-0.32,-0.10
5.855,0.48,-0.47,-0.01
5.871,0.43,-0.41,0.08
5.888,0.26,-0.23,0.06
5.905,0.30,-0.22,0.00
5.938,0.40,-0.22,0.01
5.955,0.20,-0.05,-0.03
5.971,0.02,0.12,-0.06
5.988,-0.08,0.30,-0.02
6.005,-0.04,0.24,0.06
6.022,0.02,-0.01,0.12
6.038,0.03,-0.08,0.11
6.055,0.02,0.10,0.05
6.071,0.01,0.21,0.05
6.088,-0.02,0.26,0.01
6.105,-0.09,0.22,-0.03
6.122,-0.11,0.07,-0.03
6.138,-0.10,0.15,-0.10
6.155,-0.15,0.25,-0.12
6.171,-0.18,0.25,-0.12
6.189,-0.18,0.11,-0.09
6.205,-0.18,-0.24,0.08
6.222,-0.12,-0.59,0.14
6.239,0.09,-0.69,0.11
6.255,0.19,-0.41,0.04
6.271,0.07,-0.07,-0.02
6.289,-0.14,0.10,-0.07
6.305,-0.17,0.01,-0.15
6.322,-0.05,-0.21,-0.13
6.339,-0.05,-0.19,-0.03
6.355,-0.17,0.02,0.06
6.371,-0.17,0.01,0.06
6.389,-0.07,-0.02,-0.01
6.405,-0.02,-0.05,-0.05
6.422,-0.09,-0.09,-0.00
6.455,-0.08,-0.02,-0.04
6.471,0.01,-0.02,-0.12
6.489,-0.00,-0.02,-0.07
6.522,-0.07,-0.07,-0.05
6.539,-0.07,-0.06,-0.01
6.555,-0.04,-0.08,0.02
6.571,-0.04,-0.05,0.04
6.589,-0.07,0.04,0.05
6.605,-0.14,-0.00,0.11
6.622,-0.13,0.00,0.12
6.639,-0.08,0.04,0.09
6.655,-0.11,0.04,0.07
6.671,-0.15,0.05,0.07
6.689,-0.21,0.07,0.10
6.705,-0.23,0.08,0.07
6.722,-0.19,0.11,0.05
6.739,-0.20,0.08,0.07
6.755,-0.27,0.11,0.11
6.772,-0.27,0.15,0.10
6.789,-0.15,0.07,0.05
6.805,0.04,0.05,-0.01
6.822,0.21,0.18,-0.02
6.839,0.30,0.20,0.04
6.855,0.26,0.18,0.05
6.871,0.19,0.17,-0.00
6.889,0.11,0.09,-0.05
6.905,0.07,0.05,-0.05
6.922,0.15,-0.05,0.00
6.939,0.07,0.09,0.05
6.971,-0.20,0.26,0.07
6.989,-0.17,0.08,0.18
7.005,0.03,-0.03,0.17
7.039,0.01,0.16,0.13
7.055,0.04,0.11,0.16
7.071,0.12,0.03,0.15
7.089,0.14,0.13,0.14
7.105,0.13,0.21,0.16
7.122,0.34,0.19,0.20
7.139,0.47,0.06,0.27
7.155,0.37,0.11,0.24
7.172,0.24,0.23,0.18
7.189,0.21,0.28,0.12
7.205,0.30,0.20,0.11
7.222,0.26,0.15,0.09
7.239,0.11,0.16,0.07
7.255,-0.01,0.15,0.09
7.271,-0.00,0.09,0.11
7.289,0.08,-0.08,0.13
7.305,0.10,-0.13,0.12
7.322,0.08,-0.10,0.11
7.339,0.02,-0.10,0.08
7.355,0.00,-0.15,0.05
7.371,0.05,-0.18,0.00
7.389,0.07,-0.14,-0.05
7.405,0.10,-0.16,-0.05
7.422,0.10,-0.21,-0.06
7.439,0.03,-0.18,-0.08
7.455,-0.04,-0.09,-0.09
7.471,-0.06,-0.02,-0.07
7.489,-0.04,-0.07,-0.07
7.505,-0.03,-0.12,-0.08
7.522,-0.09,-0.15,-0.02
7.555,-0.14,-0.03,-0.05
7.571,-0.08,-0.08,-0.04
7.589,-0.06,-0.09,-0.03
7.605,-0.07,-0.11,-0.01
7.622,-0.10,-0.12,-0.00
7.639,-0.07,-0.16,0.02
7.655,-0.01,-0.18,0.03
7.672,0.03,-0.21,0.02
7.689,0.07,-0.24,-0.00
7.705,0.09,-0.24,-0.03
7.722,0.13,-0.28,-0.06
7.739,0.17,-0.32,-0.12
7.755,0.14,-0.43,-0.19
7.772,0.08,-0.41,-0.26
7.789,0.01,-0.30,-0.27
7.805,-0.11,-0.18,-0.26
7.822,-0.09,-0.18,-0.32
7.839,0.08,-0.32,-0.38
7.855,0.19,-0.46,-0.36
7.872,0.22,-0.48,-0.32
7.889,0.16,-0.35,-0.29
7.906,0.05,-0.29,-0.29
7.922,0.02,-0.31,-0.26
7.939,0.03,-0.44,-0.19
7.956,0.03,-0.49,-0.12
7.972,0.03,-0.42,-0.10
7.989,0.09,-0.13,0.00
8.006,0.13,0.28,0.15
8.022,0.14,0.63,0.07
8.039,0.05,0.45,-0.82
8.072,0.02,0.26,-0.88
8.089,0.34,0.27,0.07
8.106,0.27,0.28,0.11
8.139,0.02,-0.28,0.09
8.156,0.01,-0.36,0.16
8.172,0.13,-0.06,0.23
8.189,0.18,0.15,0.18
8.206,0.11,-0.04,0.08
8.222,0.07,-0.14,0.03
8.239,0.06,-0.02,0.08
8.256,0.11,0.12,0.20
8.272,0.16,0.12,0.26
8.289,0.06,0.01,0.29
8.306,0.05,-0.23,0.36
8.322,0.28,-0.51,0.30
8.339,0.51,-0.53,0.13
8.356,0.50,-0.35,-0.01
8.372,0.30,-0.24,-0.11
8.389,0.02,-0.05,-0.21
8.406,-0.17,0.10,-0.26
8.422,-0.18,0.22,-0.25
8.439,-0.13,0.13,-0.24
8.455,-0.12,-0.18,-0.25
8.472,-0.04,-0.37,-0.26
8.489,-0.02,-0.10,-0.20
8.506,-0.11,0.28,-0.14
8.522,-0.15,0.19,-0.11
8.539,-0.12,-0.13,-0.13
8.556,-0.23,0.06,-0.14
8.589,-0.25,0.17,-0.07
8.606,-0.25,-0.02,-0.22
8.622,-0.19,0.04,-0.22
8.656,0.02,-0.08,-0.08
8.672,0.07,-0.02,-0.21
8.689,0.00,0.06,-0.25
8.706,-0.01,0.06,-0.15
8.722,0.01,-0.08,-0.01
8.739,0.10,-0.28,0.04
8.756,0.17,-0.31,0.05
8.771,0.08,-0.14,0.03
8.788,-0.08,0.05,0.01
8.806,-0.23,0.18,-0.03
8.822,-0.29,0.22,-0.07
8.839,-0.21,0.22,-0.01
8.856,-0.17,0.26,0.06
8.872,-0.25,0.30,0.12
8.889,-0.36,0.26,0.20
8.906,-0.42,0.15,0.22
8.922,-0.39,-0.01,0.23
8.939,-0.31,-0.11,0.24
8.955,-0.25,-0.13,0.21
8.972,-0.21,-0.15,0.16
8.989,-0.11,-0.27,0.09
9.006,-0.01,-0.37,0.05
9.022,-0.02,-0.31,0.04
9.039,-0.02,-0.04,0.04
9.056,0.01,0.11,0.05
9.072,-0.01,0.13,0.02
9.089,0.08,0.08,-0.03
9.105,0.17,-0.01,0.01
9.122,0.09,-0.18,0.05
9.139,0.09,-0.25,0.17
9.172,0.21,-0.17,0.16
9.189,0.15,-0.22,0.14
9.206,0.02,-0.28,0.19
9.222,0.01,-0.14,0.14
9.239,0.08,0.17,-0.03
9.256,-0.01,0.39,-0.12
9.272,-0.20,0.51,-0.06
9.289,-0.29,0.74,0.11
9.306,-0.22,0.89,0.13
9.322,-0.11,0.91,0.06
