time,ax,ay,az,atotal
4.089,-0.07,0.03,-0.49,0.50
4.099,-0.03,0.07,-0.44,0.45
4.109,0.12,0.11,-0.45,0.48
4.119,0.28,0.11,-0.43,0.53
4.129,0.40,0.10,-0.41,0.58
4.139,0.39,0.07,-0.48,0.62
4.149,0.35,0.01,-0.48,0.60
4.159,0.36,-0.03,-0.52,0.63
4.169,0.40,-0.02,-0.48,0.62
4.179,0.39,-0.05,-0.57,0.69
4.189,0.33,-0.09,-0.73,0.80
4.199,0.17,-0.17,-0.88,0.91
4.209,-0.02,-0.27,-1.05,1.09
4.219,-0.18,-0.39,-1.28,1.35
4.229,-0.28,-0.54,-1.37,1.49
4.239,-0.36,-0.70,-1.50,1.70
4.249,-0.42,-0.81,-1.63,1.87
4.259,-0.39,-0.91,-1.73,2.00
4.269,-0.24,-0.89,-2.19,2.38
4.278,-0.09,-0.78,-2.50,2.63
4.288,-0.03,-0.57,-2.47,2.54
4.298,-0.13,-0.33,-2.15,2.18
4.308,-0.25,-0.15,-1.80,1.83
4.318,-0.24,-0.05,-1.68,1.70
4.328,-0.22,-0.04,-1.59,1.61
4.338,-0.28,-0.10,-1.68,1.70
4.348,-0.42,-0.15,-1.74,1.79
4.358,-0.51,-0.13,-1.59,1.68
4.368,-0.50,-0.04,-1.38,1.47
4.378,-0.46,0.04,-1.09,1.18
4.388,-0.49,0.03,-0.91,1.03
4.398,-0.51,-0.04,-0.94,1.07
4.408,-0.49,-0.16,-0.97,1.10
4.418,-0.41,-0.19,-1.14,1.23
4.428,-0.26,-0.12,-1.22,1.25
4.438,-0.11,-0.09,-1.10,1.11
4.448,0.06,-0.06,-0.99,0.99
4.457,0.27,-0.06,-0.99,1.03
4.468,0.42,-0.11,-0.89,0.99
4.477,0.45,-0.27,-0.69,0.87
4.487,0.43,-0.56,-0.68,0.98
4.497,0.38,-0.85,-0.82,1.24
4.507,0.41,-1.02,-0.89,1.41
4.517,0.49,-1.14,-0.79,1.47
4.527,0.62,-1.18,-0.74,1.52
4.537,0.60,-1.17,-0.84,1.56
4.547,0.49,-1.17,-0.92,1.57
4.557,0.36,-1.12,-1.21,1.69
4.567,0.34,-1.11,-1.51,1.90
4.577,0.43,-1.15,-1.87,2.24
4.587,0.54,-1.16,-2.30,2.64
4.597,0.70,-1.09,-2.54,2.85
4.607,0.87,-0.92,-2.39,2.70
4.617,0.94,-0.65,-2.01,2.31
4.627,0.81,-0.33,-1.58,1.80
4.637,0.43,-0.10,-1.12,1.20
4.647,-0.00,-0.02,-0.76,0.76
4.657,-0.27,-0.01,-0.77,0.82
4.666,-0.27,-0.05,-1.06,1.09
4.677,-0.07,-0.06,-1.24,1.25
4.686,0.16,-0.03,-1.16,1.17
4.697,0.21,0.08,-0.78,0.81
4.706,0.07,0.20,-0.17,0.27
4.716,-0.07,0.28,0.23,0.37
4.726,-0.05,0.35,0.29,0.45
4.736,0.08,0.44,0.21,0.49
4.746,0.12,0.50,0.05,0.52
4.756,0.09,0.50,-0.09,0.52
4.766,-0.00,0.51,-0.03,0.51
4.776,-0.10,0.46,0.24,0.53
4.786,-0.10,0.38,0.50,0.64
4.796,0.01,0.32,0.58,0.67
4.806,0.13,0.28,0.60,0.68
4.816,0.21,0.32,0.70,0.80
4.826,0.30,0.37,0.92,1.04
4.836,0.38,0.39,1.10,1.23
4.846,0.33,0.33,1.19,1.28
4.855,0.20,0.22,1.15,1.19
4.866,0.11,0.14,1.07,1.08
4.876,0.09,0.09,0.97,0.98
4.885,0.07,0.10,0.86,0.87
4.895,0.07,0.20,0.77,0.80
4.905,0.14,0.38,0.76,0.86
4.915,0.21,0.54,0.87,1.04
4.925,0.16,0.61,1.01,1.19
4.935,0.04,0.52,1.15,1.26
4.945,-0.02,0.33,1.00,1.05
4.955,-0.05,0.18,0.84,0.86
4.965,-0.10,0.11,0.85,0.86
4.975,-0.08,0.14,0.97,0.99
4.985,-0.10,0.23,1.10,1.12
4.995,-0.10,0.27,1.18,1.22
5.005,-0.07,0.32,1.21,1.25
5.015,-0.06,0.36,1.29,1.34
5.025,-0.07,0.31,1.38,1.42
5.034,-0.03,0.18,1.55,1.56
5.045,0.13,-0.06,1.65,1.66
5.055,0.32,-0.20,1.59,1.63
5.065,0.45,-0.28,1.48,1.58
5.075,0.47,-0.29,1.39,1.49
5.084,0.44,-0.20,1.25,1.34
5.094,0.41,-0.07,1.20,1.27
5.104,0.40,0.05,1.25,1.31
5.114,0.40,-0.02,1.27,1.33
5.124,0.36,-0.29,1.35,1.42
5.134,0.37,-0.68,1.52,1.70
5.144,0.50,-1.10,1.73,2.11
5.154,0.69,-1.45,1.92,2.51
5.164,0.77,-1.67,1.84,2.60
5.174,0.81,-1.66,1.60,2.45
5.184,0.80,-1.49,1.34,2.16
5.194,0.69,-1.17,1.26,1.85
5.204,0.42,-0.85,1.63,1.89
5.214,0.11,-0.48,1.99,2.05
5.224,-0.07,-0.14,2.25,2.26
5.234,-0.03,0.14,2.41,2.42
5.244,0.08,0.31,2.56,2.58
5.254,0.03,0.30,2.74,2.76
5.263,-0.22,0.19,2.91,2.93
5.273,-0.50,0.09,3.02,3.06
5.283,-0.68,0.07,3.23,3.30
5.293,-0.62,0.14,3.46,3.52
5.303,-0.34,0.26,3.70,3.73
5.313,-0.10,0.34,3.86,3.88
5.323,-0.08,0.31,3.99,4.00
5.333,-0.09,0.19,4.04,4.05
5.343,0.04,0.04,3.95,3.95
5.353,0.24,-0.06,3.88,3.89
5.363,0.36,-0.11,3.81,3.83
5.373,0.46,-0.09,3.82,3.85
5.383,0.51,-0.02,3.84,3.88
5.393,0.49,0.04,3.72,3.75
5.403,0.46,0.05,3.47,3.50
5.413,0.47,0.06,3.20,3.24
5.423,0.45,0.09,3.00,3.04
5.433,0.35,0.13,2.77,2.80
5.443,0.25,0.17,2.76,2.77
